=== Kernel Computation Profiling (All Functions) ===

 Count  Overhead File                    Line Function
   335         0 …ractinterpretation.jl  1207 const_prop_call(interp::Core.Comp…
     2         0 …ractinterpretation.jl   249 find_matching_methods(𝕃::Core.Com…
    63         0 …ractinterpretation.jl   288 find_matching_methods(𝕃::Core.Com…
     1         0 …ractinterpretation.jl   295 find_matching_methods(𝕃::Core.Com…
     2         0 …ractinterpretation.jl   331 from_interprocedural!(interp::Cor…
     1         1 …ractinterpretation.jl     ? is_all_const_arg(argtypes::Vector…
     2         0 …ractinterpretation.jl   876 is_all_const_arg
     1         0 …ractinterpretation.jl   879 is_all_const_arg(argtypes::Vector…
     1         1 …ractinterpretation.jl  2651 isdefined_globalref
     1         0 …ractinterpretation.jl  1248 matching_cache_argtypes(𝕃::Core.C…
     3         0 …ractinterpretation.jl   945 maybe_get_const_prop_profitable(i…
     2         0 …ractinterpretation.jl   955 maybe_get_const_prop_profitable(i…
     1         1 …ractinterpretation.jl  1374 precise_container_type(interp::Co…
    24         0 …ractinterpretation.jl  1165 semi_concrete_eval_call(interp::C…
    18         0 …ractinterpretation.jl  1168 semi_concrete_eval_call(interp::C…
     1         1 …ractinterpretation.jl  1169 semi_concrete_eval_call(interp::C…
     1         1 …ractinterpretation.jl  2939 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3051 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3073 typeinf_local(interp::Core.Compil…
   805         0 …ractinterpretation.jl  3098 typeinf_local(interp::Core.Compil…
     1         0 …ractinterpretation.jl  3105 typeinf_local(interp::Core.Compil…
     2         1 …ractinterpretation.jl  3126 typeinf_local(interp::Core.Compil…
     2         0 …ractinterpretation.jl  3139 typeinf_local(interp::Core.Compil…
     2         0 …ractinterpretation.jl  3154 typeinf_local(interp::Core.Compil…
   805         0 …ractinterpretation.jl  3186 typeinf_nocycle(interp::Core.Comp…
     4         0 …ractinterpretation.jl  3198 typeinf_nocycle(interp::Core.Comp…
     1         0 …ractinterpretation.jl  2923 update_bbstate!
     1         0 …ractinterpretation.jl  2926 update_bbstate!
     1         0 …ractinterpretation.jl  2715 widenreturn
     1         0 …ractinterpretation.jl  2719 widenreturn
     1         0 …ractinterpretation.jl  2772 widenreturn(𝕃ᵢ::Core.Compiler.Con…
     1         0 …ractinterpretation.jl  2812 widenreturn
     1         0 …ractinterpretation.jl  2841 widenreturn
     1         0 …ractinterpretation.jl  2848 widenreturn_consts(rt::Any)
     1         0 …ractinterpretation.jl  2722 widenreturn_noslotwrapper(𝕃ᵢ::Cor…
     1         0 …ractinterpretation.jl  2815 widenreturn_noslotwrapper(𝕃ᵢ::Cor…
     1         0 …ractinterpretation.jl  2824 widenreturn_partials(𝕃ᵢ::Core.Com…
     1         0 …ractinterpretation.jl  2837 widenreturn_partials(𝕃ᵢ::Core.Com…
     1         0 …er/abstractlattice.jl   187 has_nontrivial_extended_info
